# class<TAB>semantic variable<TAB>Tailwind theme variable<TAB>namespace<TAB>disposition
# The first 38 rows are the complete public semantic projection. The remaining
# rows deliberately exclude internal reference values from the adapter API.
public-preview	--ds-color-canvas	--color-ds-canvas	color	projected
public-preview	--ds-color-surface	--color-ds-surface	color	projected
public-preview	--ds-color-text	--color-ds-text	color	projected
public-preview	--ds-color-text-muted	--color-ds-text-muted	color	projected
public-preview	--ds-color-border	--color-ds-border	color	projected
public-preview	--ds-color-accent	--color-ds-accent	color	projected
public-preview	--ds-color-on-accent	--color-ds-on-accent	color	projected
public-preview	--ds-color-critical	--color-ds-critical	color	projected
public-preview	--ds-color-highlight	--color-ds-highlight	color	projected
public-preview	--ds-color-focus	--color-ds-focus	color	projected
public-preview	--ds-font-body	--font-ds-body	font	projected
public-preview	--ds-font-heading	--font-ds-heading	font	projected
public-preview	--ds-font-code	--font-ds-code	font	projected
public-preview	--ds-text-small	--text-ds-small	text	projected
public-preview	--ds-text-body	--text-ds-body	text	projected
public-preview	--ds-text-lead	--text-ds-lead	text	projected
public-preview	--ds-text-heading-1	--text-ds-heading-1	text	projected
public-preview	--ds-text-heading-2	--text-ds-heading-2	text	projected
public-preview	--ds-text-heading-3	--text-ds-heading-3	text	projected
public-preview	--ds-text-heading-4	--text-ds-heading-4	text	projected
public-preview	--ds-text-heading-5	--text-ds-heading-5	text	projected
public-preview	--ds-text-heading-6	--text-ds-heading-6	text	projected
public-preview	--ds-leading-body	--leading-ds-body	leading	projected
public-preview	--ds-leading-heading	--leading-ds-heading	leading	projected
public-preview	--ds-weight-body	--font-weight-ds-body	font-weight	projected
public-preview	--ds-weight-strong	--font-weight-ds-strong	font-weight	projected
public-preview	--ds-weight-heading	--font-weight-ds-heading	font-weight	projected
public-preview	--ds-space-control-block	--spacing-ds-control-block	spacing	projected
public-preview	--ds-space-control-inline	--spacing-ds-control-inline	spacing	projected
public-preview	--ds-space-flow	--spacing-ds-flow	spacing	projected
public-preview	--ds-space-gutter	--spacing-ds-gutter	spacing	projected
public-preview	--ds-space-section	--spacing-ds-section	spacing	projected
public-preview	--ds-border-width	--spacing-ds-border-width	spacing	projected
public-preview	--ds-radius-control	--radius-ds-control	radius	projected
public-preview	--ds-focus-width	--spacing-ds-focus-width	spacing	projected
public-preview	--ds-focus-offset	--spacing-ds-focus-offset	spacing	projected
public-preview	--ds-size-target-min	--spacing-ds-target-min	spacing	projected
public-preview	--ds-size-measure	--container-ds-measure	container	projected
internal	--ds-ref-*	-	-	excluded-internal-reference-tier
